Close,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30
115.19,118.01363596156881,115.872,119.47900000000001,121.53133333333334,116.31833333333334
115.03,117.73127236541193,114.47200000000001,118.76399999999998,120.74600000000001,116.61533333333334
115.21,117.46114512887073,114.394,118.05300000000003,119.98333333333333,116.94733333333333
117.96,117.23603061598367,114.47999999999999,117.37099999999998,119.22599999999998,117.29366666666667
118.04,117.30842755438529,115.396,116.70899999999999,118.76533333333333,117.78099999999999
117.69,117.38158479894675,116.28599999999999,116.079,118.41466666666666,118.36266666666667
117.41,117.41242631905209,116.78599999999999,115.62899999999999,118.10466666666666,118.96900000000001
116.93,117.4121836871469,117.26200000000001,115.828,117.78933333333333,119.541
117.51,117.36396531843222,117.606,116.04299999999998,117.44933333333333,120.05633333333334
117.0,117.37856878658899,117.516,116.45599999999999,116.978,120.64666666666668
